Den_ID	Year	Status	Species	Litter_ID	Comments
FOX008	2005	NR			
FOX009	2005	NR			
FOX010	2005	R	Arctic fox	2005_AF01	
FOX014	2005	NR			
FOX015	2005	NR			
FOX016	2005	NR			
FOX018	2005	NR			
FOX019	2005	NR			
FOX020	2005	NR			
FOX021	2005	NR			
FOX022	2005	NR			
FOX023	2005	NR			
FOX024	2005	NR			
FOX025	2005	NR			
FOX026	2005	NR			
FOX027	2005	NR			
FOX028	2005	NR			
FOX029	2005	NR			
FOX031	2005	NR			
FOX032	2005	NR			
FOX034	2005	NR			
FOX101	2005	NR			
FOX102	2005	NR			
FOX104	2005	NR			
FOX105	2005	NR			
FOX106	2005	N	Arctic fox	2005_AF02	
FOX107	2005	NR			
FOX108	2005	R	Arctic fox	2005_AF02	
FOX109	2005	NR			
FOX110	2005	NR			
FOX111	2005	NR			
FOX112	2005	N	Arctic fox	2005_AF03	
FOX113	2005	NR			
FOX114	2005	NR			
FOX115	2005	N	Arctic fox	2005_AF04	
FOX116	2005	NR			
FOX117	2005	NR			
FOX120	2005	NR			
FOX121	2005	NR			
FOX122	2005	R	Arctic fox	2005_AF04	
FOX123	2005	NR			
FOX124	2005	N	Arctic fox	2005_AF05	
FOX125	2005	NR			
FOX126	2005	NR			
FOX127	2005	NR			
FOX128	2005	R	Arctic fox	2005_AF03	
FOX131	2005	NR			
FOX132	2005	NR			
FOX133	2005	NR			
FOX134	2005	N	Arctic fox	2005_AF06	
FOX135	2005	NR			
FOX137	2005	N	Arctic fox	2005_AF07	
FOX139	2005	NR			
FOX140	2005	R	Arctic fox	2005_AF06	
FOX141	2005	NR			
FOX142	2005	NR			
FOX143	2005	NR			
FOX144	2005	NR			
FOX145	2005	NR			
FOX201	2005	NR			
FOX202	2005	NR			
FOX305	2005	NR			
FOX307	2005	NR			
FOX309	2005	NR			
FOX317	2005	NR			
FOX319	2005	NR			
FOX322	2005	NR			
FOX323	2005	NR			
FOX324	2005	NR			
FOX325	2005	NR			
FOX334	2005	NR			
FOX335	2005	NR			
FOX001	2006	NR			
FOX002	2006	NR			
FOX003	2006	NR			
FOX004	2006	NR			
FOX005	2006	NR			
FOX006	2006	NR			
FOX007	2006	NR			
FOX008	2006	NR			
FOX009	2006	NR			
FOX010	2006	NR			
FOX014	2006	NR			
FOX015	2006	NR			
FOX016	2006	NR			
FOX018	2006	NR			
FOX019	2006	NR			
FOX020	2006	NR			
FOX021	2006	NR			
FOX022	2006	NR			
FOX023	2006	NR			
FOX024	2006	NR			
FOX025	2006	NR			
FOX026	2006	NR			
FOX027	2006	NR			
FOX028	2006	NR			
FOX029	2006	NR			
FOX031	2006	NR			
FOX032	2006	NR			
FOX034	2006	NR			
FOX036	2006	NR			
FOX037	2006	NR			
FOX038	2006	NR			
FOX040	2006	NR			
FOX101	2006	NR			
FOX102	2006	NR			
FOX104	2006	NR			
FOX105	2006	NR			
FOX106	2006	NR			
FOX107	2006	NR			
FOX108	2006	NR			
FOX109	2006	NR			
FOX110	2006	NR			
FOX111	2006	NR			
FOX112	2006	NR			
FOX113	2006	NR			
FOX114	2006	NR			
FOX115	2006	NR			
FOX116	2006	NR			
FOX117	2006	NR			
FOX120	2006	NR			
FOX121	2006	NR			
FOX122	2006	NR			
FOX123	2006	NR			
FOX124	2006	NR			
FOX125	2006	NR			
FOX126	2006	NR			
FOX127	2006	NR			
FOX128	2006	NR			
FOX131	2006	NR			
FOX132	2006	NR			
FOX133	2006	NR			
FOX134	2006	NR			
FOX135	2006	NR			
FOX137	2006	NR			
FOX139	2006	NR			
FOX140	2006	NR			
FOX141	2006	NR			
FOX142	2006	NR			
